<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.05.11	233.13	238.36	232.00	235.22	10631	0	0
2015.05.12	235.19	235.98	231.53	235.04	8751	0	0
2015.05.13	235.11	238.09	229.13	229.88	12691	0	0
2015.05.14	229.93	233.54	226.23	230.99	13561	0	0
2015.05.15	231.00	233.16	230.28	231.13	5631	0	0
2015.05.18	229.83	230.90	225.54	227.09	7981	0	0
2015.05.19	227.10	228.15	225.03	225.43	4571	0	0
2015.05.20	225.40	228.84	224.98	228.29	4831	0	0
2015.05.21	228.28	230.53	227.85	228.97	4671	0	0
2015.05.22	228.96	234.53	226.99	233.76	10281	0	0
2015.05.25	233.65	233.99	227.64	229.66	8711	0	0
2015.05.26	229.65	231.95	228.21	229.66	7471	0	0
2015.05.27	229.67	231.25	228.36	229.25	5361	0	0
2015.05.28	229.24	230.80	228.90	230.38	2661	0	0
2015.05.29	230.37	230.45	228.01	229.78	4291	0	0
2015.06.01	222.83	225.18	214.82	217.50	15391	0	0
2015.06.02	217.67	219.85	215.62	219.06	7071	0	0
2015.06.03	219.23	220.95	216.76	218.69	7841	0	0
2015.06.04	218.64	219.89	216.09	216.94	5901	0	0
2015.06.05	217.03	219.83	213.53	218.90	10731	0	0
2015.06.08	216.60	223.40	216.42	222.11	8451	0	0
2015.06.09	222.10	224.72	220.88	222.69	7091	0	0
2015.06.10	222.72	223.70	220.83	221.84	4861	0	0
2015.06.11	221.80	223.53	221.33	223.09	3111	0	0
2015.06.12	223.08	224.68	222.37	223.86	3841	0	0
2015.06.15	225.98	231.06	225.68	229.96	6781	0	0
2015.06.16	229.92	246.01	228.46	244.18	20841	0	0
2015.06.17	244.22	250.93	238.37	241.78	22681	0	0
2015.06.18	241.08	245.09	236.13	242.38	16621	0	0
2015.06.19	242.39	243.84	238.43	240.08	8511	0	0
2015.06.22	237.61	241.84	236.76	240.00	7771	0	0
2015.06.23	239.99	241.20	236.35	237.80	7511	0	0
2015.06.24	237.82	237.98	232.95	234.19	6431	0	0
2015.06.25	234.08	236.81	233.58	236.03	4511	0	0
2015.06.26	235.98	236.16	234.39	235.43	2991	0	0
2015.06.29	242.67	250.38	242.33	250.02	8751	0	0
2015.06.30	250.03	261.67	249.07	256.46	18771	0	0
2015.07.01	256.54	258.91	248.36	251.57	16131	0	0
2015.07.02	251.60	254.67	247.25	248.52	11761	0	0
2015.07.03	248.51	250.44	246.42	249.47	7081	0	0
2015.07.06	265.47	272.42	261.60	262.52	18691	0	0
2015.07.07	262.53	265.63	258.13	259.59	12061	0	0
2015.07.08	259.72	267.22	257.18	264.53	15271	0	0
2015.07.09	264.52	265.98	259.98	262.79	10271	0	0
2015.07.10	262.83	288.68	262.66	281.18	33691	0	0
2015.07.13	304.56	304.73	275.03	286.40	41241	0	0
2015.07.14	286.32	290.96	280.07	281.31	16771	0	0
2015.07.15	281.30	287.68	278.36	279.56	16901	0	0
2015.07.16	279.60	286.44	268.96	271.82	27181	0	0
2015.07.17	271.83	274.76	266.36	272.27	16361	0	0
2015.07.20	269.10	273.34	268.65	273.14	5341	0	0
2015.07.21	273.13	275.07	270.35	270.76	7071	0	0
2015.07.22	270.72	271.97	269.10	271.62	4841	0	0
2015.07.23	271.60	272.55	269.89	270.39	4111	0	0
2015.07.24	270.40	283.55	269.99	282.17	15351	0	0
2015.07.27	287.01	291.45	280.52	288.12	20751	0	0
2015.07.28	288.13	291.00	286.20	287.84	9311	0	0
2015.07.29	287.85	288.56	281.33	283.81	10421	0	0
2015.07.30	283.82	284.23	278.73	282.16	9341	0	0
2015.07.31	282.17	282.97	275.98	278.45	10261	0	0
2015.08.03	276.12	279.75	273.36	274.36	11021	0	0
2015.08.04	274.37	279.72	274.34	278.95	6181	0	0
2015.08.05	278.96	279.77	274.79	275.05	6051	0	0
2015.08.06	275.04	275.63	270.70	271.27	6091	0	0
2015.08.07	271.24	274.39	268.39	273.54	9701	0	0
2015.08.10	258.84	260.76	255.86	258.20	9161	0	0
2015.08.11	258.19	265.43	258.04	265.07	7901	0	0
2015.08.12	264.88	265.10	259.87	261.63	7211	0	0
2015.08.13	261.41	261.68	256.39	258.57	7741	0	0
2015.08.14	258.56	260.99	256.10	260.56	7781	0	0
2015.08.17	250.24	253.12	249.17	250.57	7571	0	0
2015.08.18	250.74	250.96	215.12	218.40	39341	0	0
2015.08.19	218.41	231.57	216.07	220.54	28871	0	0
2015.08.20	220.53	230.66	220.48	229.29	11601	0	0
2015.08.21	229.35	230.63	225.79	227.15	7481	0	0
2015.08.24	222.77	222.98	203.30	204.02	20611	0	0
2015.08.25	204.03	222.04	192.69	216.25	46481	0	0
2015.08.26	216.26	224.92	213.78	219.62	18921	0	0
2015.08.27	219.81	222.75	217.30	219.20	10291	0	0
2015.08.28	219.14	229.84	214.45	227.62	22301	0	0
2015.08.31	223.26	226.46	218.64	224.06	14841	0	0
2015.09.01	224.07	225.58	220.21	221.96	8631	0	0
2015.09.02	221.97	224.77	220.16	223.08	8111	0	0
2015.09.03	223.03	223.89	220.55	221.17	4821	0	0
2015.09.04	221.18	225.39	220.53	225.12	5781	0	0
2015.09.07	234.31	236.84	232.63	234.44	8291	0	0
2015.09.08	234.28	240.15	233.98	237.90	8721	0	0
2015.09.09	237.97	238.15	231.01	232.27	8581	0	0
2015.09.10	232.28	235.47	228.98	232.61	12651	0	0
2015.09.11	232.62	234.94	231.56	233.72	5661	0	0
2015.09.14	223.79	226.63	217.99	223.78	17271	0	0
